"rank","artist","title","releaseYear","listHighestRank","listType","x","y"
"57","杭州林女士（化名）在刷剧时发现电视剧的取景地竟是自己位于宁波、一直空置的别墅，随后将电视剧出品方、物业公司、播放平台等诉至法院，要求赔偿近300万元。日前，宁波慈溪市法院作出一审判决：判令两部电视剧的出品方赔偿林女士财产损失、房屋占有费等40余万元。","电视剧女主睡在我家床案一审判决","2021-03-03","57","2021-03-03","1843.98","188.32"
"58","无描述","沈腾追Angelababy时摔倒","2021-04-02","58","2021-04-02","910.61","105.83"
"59","襄阳一位阿姨晒贾玲妈妈年轻时的照片，贾玲妈妈真好看呀～","贾玲妈妈年轻时的照片","2021-02-16","59","2021-02-16","1192.02","277.86"
"60","无描述","甘肃山地马拉松16名参赛选手遇难","2021-05-23","60","2021-05-23","838.96","374.19"
"61","半藏森林广告风波后发长文，称她任何举动都会掀起一场道德审判的盛宴，自己所承受的“私刑”已经越过了普世价值下的道德底线。","半藏森林发长文","2021-01-17","61","2021-01-17","653.38","288.27"
"62","自2021年1月17日起，将石家庄新乐市长寿街道调整为高风险地区。","石家庄新乐市长寿街道升为高风险","2021-01-17","62","2021-01-17","1293.45","392.9"
"63","1998年，孙小果曾因强奸罪、故意伤害罪等多项罪名被判死刑，却只服刑12年零5个月就被释放。2020年2月20日，孙小果被执行死刑！","孙小果被执行死刑前画面公开","2021-03-30","63","2021-03-30","1457.22","239.42"
"64","电商  ","清空购物车","2021-02-11","64","2021-02-11","879.4","249.03"
"65","社会  ","500余名艺人发声反对短视频侵权","2021-04-25","65","2021-04-25","1000.04","384.76"
"66","张碧晨在猜歌环节猜的是《斗牛》，画画环节则是花了一朵花","张碧晨猜歌猜了斗牛","2021-02-13","66","2021-02-13","992.69","93.37"
"67","无描述","王子文 说姐苦恋六年那会姐有男朋友","2021-03-28","67","2021-03-28","1067.93","396.2"
"68","7日，Angelababy否认插足黄晓明和李菲儿后首现身，一身黑色亮片西装深V内搭，状态不错。她与蔡徐坤同台，画面养眼。","Angelababy蔡徐坤同框","2021-01-07","68","2021-01-07","755.04","107.85"
"69","“我男朋友马伯骞，我叫他大伯”，辣目洋子这是什么脑回路哈哈。","我男朋友马伯骞 我叫他大伯","2021-02-12","69","2021-02-12","716.99","305.8"
"70",,"你好李焕英票房破10亿","2021-02-14","70","2021-02-14","1303.88","275.16"
"71","税务和广电管理部门将严查违法违规行为，坚决查处整治“阴阳合同”、“天价片酬”、偷逃税等问题。","郑爽涉嫌签订阴阳合同被调查","2021-04-28","71","2021-04-28","598.22","246.99"
"72","关晓彤工作室发文否认视频假吃，并且晒出视频力证，表示是因为视频时长问题。","关晓彤工作室否认吃播假吃","2021-05-19","72","2021-05-19","1902.14","235.43"
"73","中国视协：依法纳税是宪法规定的每个公民的基本义务和爱国守法的道德义务。对于没有艺德的艺人，社会决不会为其提供发声露脸的机会。","中国视协回应郑爽被查","2021-04-29","73","2021-04-29","968.55","308.96"
"74","邢台市委常委、宣传部部长戎阳说，据隆尧县报告，因检测能力有限，收集样本委托济南某单位承担。14日，该公司向卫健部门谎报全部阴性。16日上午又报告有阳性样本。","第三方机构谎报全员阴性结果","2021-01-17","74","2021-01-17","1461.33","174.6"
"75","张加丽女士在《希望的田野》成推荐会主持人，刚刚杨迪用实际行动支持丽丽子solo出道。","杨迪申请当妈妈超话主持人","2021-01-17","75","2021-01-17","1342.12","235.95"
"76","人民日报四问通化物资配送问题，回应如下：①目前通化市粮油菜肉蛋奶等基本生活物资储备充足，不存在短缺现象；②通化装配蔬菜包以成本价直送家中；③通化计划组织7000多人为封闭小区配送物资；④通化市民可携近期2次核酸结果阴性证明，报名当志愿者。","人民日报四问通化物资配送问题","2021-01-24","76","2021-01-24","1653.2","195.7"
"77","社会  ","赖小民被执行死刑","2021-01-29","77","2021-01-29","1081.24","256.46"
"78","无描述","鹿晗一到薇娅直播间就变吃播","2021-03-02","78","2021-03-02","838.24","400.63"
"79","哈尔滨呼兰公安通报社区志愿者被捅身亡，目前嫌犯已被刑事拘留","警方通报社区志愿者被捅身亡","2021-02-03","79","2021-02-03","949.78","91.77"
"80","网传一段关于“西藏冒险王20次降噪视频”引发热议。王相军的弟弟王龙称，网传视频是其哥哥王相军2020年12月10日拍摄的，相当于12月19日当天发的是此前拍摄的库存视频，哥哥是12月20日遇难的，时间节点对不上。“那个地方确实不可能是案发现场。”","西藏冒险王弟弟回应网传降噪视频","2021-01-22","80","2021-01-22","1296.33","366.84"
"81","音乐-华语音乐  ","蔡徐坤 不好意思又是我","2021-01-23","81","2021-01-23","1106.31","253.96"
"82",,"潘博文","2021-01-17","82","2021-01-17","1862.44","311.82"
"83","BCI上海办事处一名员工回应，BCI中国团队没有在新疆发现强迫劳动，品牌行为与其无关，今日将发表最新声明。","BCI上海办事处回应","2021-03-25","83","2021-03-25","1318.41","378.52"
"84","近日，《快乐大本营》导演甘亿在采访中回应“快本现在谁红谁上，以前谁上谁红”的争议，称根本原因在于现在网络的曝光力量是最强大的。","快本导演回应谁红谁上节目的争议","2021-05-21","84","2021-05-21","1699.34","328.92"
"85","路透社今日消息，加拿大一家法院13日庭审时曝出，华为首席财务官孟晚舟在温哥华居家期间，曾数次收到死亡威胁，其中包括装有子弹的信件。","孟晚舟在温哥华多次收到死亡威胁","2021-01-14","85","2021-01-14","1443.26","343.29"
"86","华晨宇、关晓彤合作演绎《我的少女时代——十年之约》。","华晨宇关晓彤演我的少女时代","2021-02-19","86","2021-02-19","1170.29","216.69"
"87","明星-内地  ","周杰伦胖了","2021-01-17","87","2021-01-17","1042.79","172.37"
"88","港媒报道称吴孟达今日病情情况转危，已经转入ICU治疗，医生通知家人到医院来看他，好友田启文也赶去了医院。","吴孟达病情加重转入ICU","2021-02-27","88","2021-02-27","1691.39","257.04"
"89","一名与华盛顿关系密切的工党高级官员爆料，梅根利用奥普拉采访风波来开启她的政治生涯，并正在与美国民主党高层建立联系并成立竞选与筹款团队。","梅根或准备竞选美国总统","2021-03-14","89","2021-03-14","1675.6","206.87"
"90","社会  ","印度疫情","2021-04-24","90","2021-04-24","967.7","224.4"
"91","2月2日，女演员高溜微博发长文，讲述了自己做医美鼻子整形失败的不幸遭遇。","演员高溜整容失败鼻尖坏死","2021-02-03","91","2021-02-03","1373.14","330.48"
"92","有网友称在陈赫火锅店就餐时被掉落的天花板砸伤，陈赫转发火锅店声明道歉，“再次向两位顾客深表歉意，全面排查整改，安全问题绝不姑息！” ​","陈赫道歉","2021-04-11","92","2021-04-11","1291.91","136.49"
"93","无描述","易烊千玺上海迪士尼","2021-05-20","93","2021-05-20","1359.71","352.66"
"94","《我就是演员》宋妍霏说自己一年多没接到戏了，曾被说长得太有攻击性了。","宋妍霏被说长得有攻击性","2021-01-09","94","2021-01-09","1026.88","127.57"
"95","微信今日更新8.0版本，新表情来了，常用的黄脸表情包比如裂开、让我看看等都可以动起来了。微信方面表示正在灰度测试新表情中，看看你的黄脸表情会动了吗？","微信黄脸表情会动了","2021-01-21","95","2021-01-21","937.32","184.24"
"96","4月17日，@郑恺 在生日会上透露不出意外的话，今年将和@苗苗-vivi 办婚礼。","郑恺今年办婚礼","2021-04-17","96","2021-04-17","696.95","370.29"
